# The 64 districts of Bangladesh, each mapped to its division.
# One row per district; district_code is unique. Edit and re-run:
#   python -m app.cli.seed
district_code,district_name,division_code
DHK,Dhaka,DK
FRD,Faridpur,DK
GAZ,Gazipur,DK
GOP,Gopalganj,DK
KIS,Kishoreganj,DK
MAD,Madaripur,DK
MAN,Manikganj,DK
MUN,Munshiganj,DK
NRN,Narayanganj,DK
NRS,Narsingdi,DK
RJB,Rajbari,DK
SHP,Shariatpur,DK
TGL,Tangail,DK
CTG,Chattogram,CT
BAN,Bandarban,CT
BRB,Brahmanbaria,CT
CHD,Chandpur,CT
CUM,Cumilla,CT
COX,Cox's Bazar,CT
FEN,Feni,CT
KHG,Khagrachhari,CT
LKM,Lakshmipur,CT
NOA,Noakhali,CT
RNG,Rangamati,CT
BOG,Bogura,RJ
JYP,Joypurhat,RJ
NAO,Naogaon,RJ
NAT,Natore,RJ
NWG,Chapai Nawabganj,RJ
PAB,Pabna,RJ
RAJ,Rajshahi,RJ
SRJ,Sirajganj,RJ
DIN,Dinajpur,RP
GBD,Gaibandha,RP
KRG,Kurigram,RP
LMR,Lalmonirhat,RP
NIL,Nilphamari,RP
PAN,Panchagarh,RP
RGP,Rangpur,RP
THK,Thakurgaon,RP
BGT,Bagerhat,KH
CHU,Chuadanga,KH
JSH,Jashore,KH
JHD,Jhenaidah,KH
KHU,Khulna,KH
KUS,Kushtia,KH
MAG,Magura,KH
MEH,Meherpur,KH
NRL,Narail,KH
SAT,Satkhira,KH
BGL,Barguna,BR
BAR,Barishal,BR
BHO,Bhola,BR
JHL,Jhalokathi,BR
PTK,Patuakhali,BR
PRJ,Pirojpur,BR
HAB,Habiganj,SY
MUL,Moulvibazar,SY
SUN,Sunamganj,SY
SYL,Sylhet,SY
JAM,Jamalpur,MY
MYM,Mymensingh,MY
NET,Netrokona,MY
SHE,Sherpur,MY
